URL,Job ID,Candidate ID,Shortlisting Date,Screening Date,Review Date,Interview Date,Offer submission Date,Offer approval Date,Offer Acceptance Date,Date of Joining,Currency,Offered CTC,Date of joining in offer
a2,J0017,C0180,,,,,,,,,,,
a2,J0017,C0187,,,,,,,,,,,
a2,J0017,C0199,,,,,,,,,,,
a2,J0017,C0200,,,,,24/08/2015,24/08/2015,24/08/2015,24/08/2015,INR,182400,24/08/2015
a2,J0018,C0177,,,,,,,,,,,
a2,J0018,C0192,,,,,14/08/2015,14/08/2015,14/08/2015,03/09/2015,INR,420000,07/09/2015
a2,J0018,C0221,,,,,23/09/2015,23/09/2015,25/11/2015,29/09/2015,INR,300000,29/09/2015
a2,J0019,C0196,,,,,24/08/2015,24/08/2015,24/08/2015,11/08/2015,INR,182400,11/08/2015
a2,J0019,C0197,,,,,24/08/2015,24/08/2015,24/08/2015,17/08/2015,INR,182400,17/08/2015
a2,J0019,C0198,,,,,,,,,,,
a2,J0020,C0198,,,,,24/08/2015,24/08/2015,24/08/2015,10/08/2015,INR,182400,10/08/2015
a2,J0020,C0211,,,,,10/09/2015,10/09/2015,10/09/2015,01/09/2015,INR,182400,01/09/2015
a2,J0020,C0212,,,,,14/09/2015,14/09/2015,17/09/2015,03/09/2015,INR,182400,03/09/2015
a2,J0020,C0214,,,,,,,,,,,
a2,J0020,C0216,,,,,,,,,,,
a2,J0020,C0217,,,,,,,,,,,
a2,J0021,C0199,,,,,24/08/2015,24/08/2015,24/08/2015,24/08/2015,INR,186000,24/08/2015
a2,J0021,C0213,,,,,14/09/2015,14/09/2015,17/09/2015,08/09/2015,INR,360000,08/09/2015
a2,J0021,C0237,,,,,,,,,,,
a2,J0021,C0243,,,,,15/12/2015,15/12/2015,21/01/2016,10/12/2015,INR,360000,10/12/2015
a2,J0023,C0238,,,,,07/10/2015,07/10/2015,09/10/2015,15/09/2015,INR,182400,15/09/2015
a2,J0025,C0252,,,,,01/03/2016,01/03/2016,01/03/2016,01/03/2016,INR,900000,01/03/2016
a2,J0025,C0301,,,,,,,,,,,
a2,J0026,C0239,,,,,01/12/2015,01/12/2015,04/12/2015,19/11/2015,INR,182400,19/11/2015
a2,J0026,C0249,,,,,01/02/2016,01/02/2016,01/02/2016,04/01/2016,INR,182400,04/01/2016
a2,J0027,C0240,,,,,01/12/2015,01/12/2015,04/12/2015,18/11/2015,INR,182400,18/11/2015
a2,J0028,C0250,,,,,01/02/2016,01/02/2016,01/02/2016,21/01/2016,INR,240000,21/01/2016
a2,J0029,C0455,,,,,,,,,,,
a2,J0030,C0241,,,,,04/12/2015,04/12/2015,10/12/2015,04/12/2015,INR,360000,04/12/2015
